timestamp_start,"2025-11-24 20:12:55"
file,"c:\laragon\www\jagapadi\MFD.csv"

kode_error,id_record,pesan_error
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
INVALID,,"missing required kab/kec fields"
